109	7	0	0	3	9	8	6	7	0	0	3	9	8	6	7	0	1	3	9	8	7	8	0	1	4	10	9	7	8
121	7	5	3	8	8	5	3	3	2	1	6	6	2	0	1	0	0	3	3	0	0	0	0	0	0	0	0	0	0
122	2	0	0	5	3	9	3	5	4	3	10	8	13	8	10	9	8	16	13	18	14	16	16	14	23	20	25	21	24
125	6	7	5	11	9	13	14	12	11	10	17	15	19	20	18	18	17	24	23	27	28	27	27	27	34	33	38	39	38
129	24	22	18	21	23	23	20	21	17	14	16	18	18	15	16	12	9	11	13	12	9	9	6	2	4	6	5	2	2
136	10	8	12	12	11	10	13	15	13	16	16	16	15	19	20	18	22	22	22	22	25	27	25	29	30	29	29	33	35
138	6	4	7	8	0	10	7	4	3	8	8	11	14	9	8	7	11	12	12	17	12	11	10	14	15	16	21	16	15
139	9	6	8	14	14	14	11	13	12	13	18	19	18	18	19	18	20	26	27	26	26	28	27	29	35	37	36	36	38
150	3	2	0	5	5	5	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	10	15	10	18	18	18	22	21	22	21	28	29	30	34	33	35	35	42	43	45	50	49	52	51	59	61	63	69	68
156	1	2	5	5	3	4	5	2	4	6	6	4	5	6	3	4	7	7	5	6	7	4	6	8	9	7	7	9	6
158	33	16	21	28	29	27	28	28	21	19	30	27	29	27	30	20	20	30	28	29	28	30	21	20	30	28	30	28	30
163	6	8	7	7	9	9	9	7	9	8	8	10	10	11	8	10	9	9	12	12	12	10	12	11	11	13	14	14	12
167	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170	0	0	0	3	4	2	4	3	1	0	4	6	5	8	6	4	3	7	9	8	11	10	8	6	10	13	12	15	14
181	8	6	12	13	9	9	6	8	6	11	10	8	7	4	6	5	9	9	6	6	2	4	3	7	6	3	3	0	1
196	5	1	1	5	8	7	7	8	3	3	7	10	10	10	10	5	5	10	13	12	13	14	9	9	13	17	16	16	17
216	20	11	19	12	13	13	14	15	9	19	10	12	10	9	12	4	14	5	7	6	4	7	0	9	0	2	0	0	1
223	2	3	3	1	2	2	3	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
235	12	10	14	16	17	20	14	14	17	15	18	19	20	16	14	15	16	14	19	22	16	15	15	17	16	20	23	17	16
237	15	16	15	17	17	16	17	17	17	18	19	19	19	20	20	20	21	22	22	23	23	23	23	25	26	26	26	28	27
238	18	16	19	22	20	22	18	19	18	19	25	23	22	21	22	21	22	27	25	25	23	24	23	25	30	28	28	26	27
263	6	5	7	8	8	7	7	6	5	7	8	8	7	7	6	6	7	8	8	8	7	6	6	7	9	8	8	7	6
274	5	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
276	6	4	3	6	8	9	7	8	5	5	8	10	11	9	10	7	7	10	12	13	12	12	10	10	13	15	16	15	16
278	4	3	4	5	6	4	4	4	3	4	5	6	4	4	4	3	4	5	6	4	4	4	3	4	5	6	4	4	4
290	1	0	0	1	0	3	1	1	0	0	1	0	3	1	1	0	0	0	0	3	0	0	0	0	0	0	2	0	0
296	10	8	7	12	13	15	10	11	13	10	12	12	14	11	12	14	12	14	15	16	14	15	15	14	17	18	19	18	18
307	9	9	9	11	13	13	13	13	12	11	13	15	16	15	15	14	14	17	18	19	18	19	18	18	20	22	23	22	23
330	7	8	8	7	9	9	7	6	7	9	8	9	10	8	6	8	10	9	9	10	9	7	9	11	10	10	11	10	8
333	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
338	14	15	14	15	16	16	17	16	17	16	17	18	18	20	18	19	19	20	21	21	23	22	23	22	23	25	25	27	25
341	2	4	4	3	2	1	2	2	1	1	3	3	2	4	0	2	2	1	0	0	0	0	0	0	0	0	0	2	0
343	11	10	10	10	9	9	10	11	10	10	10	8	9	10	11	10	10	9	8	9	10	11	10	10	9	8	9	10	11
361	8	7	5	8	9	9	8	6	5	3	6	7	7	5	4	3	1	4	4	4	3	1	0	0	0	1	1	0	0
372	1	0	0	2	2	0	0	1	1	1	3	4	2	1	3	2	3	5	6	4	3	5	5	5	8	8	7	6	8
378	10	10	17	18	13	12	10	6	12	9	17	7	6	4	10	10	1	9	3	0	0	0	0	0	1	0	0	0	0
384	2	1	0	2	3	2	3	2	1	0	3	3	2	3	3	1	1	3	4	2	3	3	2	1	4	4	3	4	4
415	11	11	11	10	11	12	12	12	12	11	11	12	12	13	12	13	12	12	13	13	14	14	14	13	13	14	15	16	15
430	9	9	10	9	10	10	10	10	10	10	10	11	11	11	11	11	11	11	12	12	12	12	12	12	12	13	13	13	13
431	1	0	0	1	2	0	1	2	1	1	2	3	2	2	3	2	3	3	4	3	4	5	4	4	5	6	5	6	7
442	3	4	4	2	4	2	1	2	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
455	0	0	0	1	1	0	0	0	0	0	2	2	1	1	0	1	0	2	2	1	1	1	1	1	3	3	2	2	2
475	1	1	0	1	2	3	3	3	2	1	2	4	5	4	5	4	3	4	6	7	6	7	6	5	7	8	10	9	9
486	15	15	15	17	16	15	15	15	16	15	18	16	16	16	16	16	16	18	17	17	16	17	17	17	19	18	17	17	17
499	5	4	4	5	5	5	4	4	3	3	4	4	4	4	3	2	3	4	4	4	3	3	2	2	4	4	4	3	3
506	3	1	3	2	3	3	2	3	1	3	3	3	3	2	3	2	3	3	4	4	3	4	2	4	4	4	4	4	5
511	2	2	2	5	6	7	5	5	5	5	8	9	11	9	9	9	10	13	14	16	14	14	15	16	19	20	22	21	22
515	5	6	6	6	7	8	6	4	5	6	7	6	7	6	4	4	6	7	6	7	5	3	4	6	6	5	6	5	3
538	3	3	4	5	5	5	5	3	3	3	4	5	4	4	2	2	2	4	4	4	4	2	2	2	3	3	3	3	1
596	5	4	5	6	7	8	4	5	4	6	6	7	8	5	5	5	6	6	8	8	5	6	5	6	7	8	9	6	6
610	3	0	1	1	2	2	1	2	1	0	2	2	2	0	2	0	0	0	1	1	0	1	0	0	1	1	1	0	1
650	4	6	3	5	7	7	6	3	5	3	7	6	5	7	3	5	3	7	6	7	6	4	5	3	6	6	7	6	3
661	4	3	4	4	5	4	4	7	5	5	6	6	6	6	8	7	8	8	9	9	10	11	10	11	11	12	12	13	14
669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
672	3	5	4	5	5	6	5	3	4	4	5	5	6	4	3	4	4	5	5	6	4	3	4	3	5	5	5	4	3
716	1	1	0	1	2	2	1	1	0	0	1	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
720	6	5	5	6	6	6	6	5	5	4	5	6	6	6	5	4	4	5	6	6	5	5	4	3	4	5	5	5	4
801	2	3	5	4	4	5	2	2	2	4	4	4	5	3	3	2	4	4	4	5	2	3	2	5	3	5	5	3	2
829	1	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
848	4	3	2	2	4	3	3	2	2	2	2	2	2	2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0
865	4	6	3	4	3	4	3	2	3	4	3	3	2	3	2	1	2	1	2	1	1	0	0	0	0	0	0	0	0
922	6	6	6	7	7	7	8	6	7	6	7	7	7	8	7	7	7	8	8	8	9	7	8	7	8	9	9	10	8
949	1	1	1	1	2	2	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
962	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
964	5	4	4	6	5	4	5	4	4	3	5	3	3	4	3	2	2	3	2	2	2	2	1	1	2	0	1	1	0
